grid;nDrones;base:method;tours
5x5;3;13;0;[[13,14,19,24,23,22,21,20,15,16,17,18,13],[13,8,9,4,3,2,1,0,5,10,11,6,7,13],[13,12,13]]
5x5;2;13;0;[[13,8,9,4,3,2,1,0,5,6,7,12,13],[13,18,17,16,11,10,15,20,21,22,23,24,19,14,13]]
5x5;2;0;0;[[0,7,8,13,18,23,24,19,14,9,4,3,2,1,0],[0,6,11,12,17,22,16,21,20,15,10,5,0]]
5x5;3;0;0;[[0,5,10,15,20,21,22,17,16,12,11,0],[0,6,7,8,13,18,23,24,19,14,9,4,3,2,0],[0,1,0]]
4x6;2;0;0;[[0,7,8,9,10,11,5,4,3,2,1,0],[0,13,14,15,16,17,23,22,21,20,19,18,12,6,0]]
3x3;2;0;0;[[0,3,6,7,8,5,2,0],[0,4,1,0]]
4x6;3;12;0;[[12,18,12],[12,6,0,1,2,3,4,5,11,10,9,8,7,12],[12,13,14,15,16,17,23,22,21,20,19,12]]
3x8;2;0;0;[[0,8,16,17,18,19,20,21,11,10,9,0],[0,12,13,14,22,23,15,7,6,5,4,3,2,1,0]]
3x8;3;12;0;[[12,11,19,18,10,9,17,16,8,0,1,2,3,12],[12,4,12],[12,20,21,22,23,15,7,6,5,14,13,12]]
